ID, OPEID, OPEID6, INSTNM, CITY, STABBR
243638, 1034300, 10343, College of Micronesia-FSM, Pohnpei, FM
243647, 1100900, 11009, Palau Community College, Koror, PW
376695, 3022400, 30224, College of the Marshall Islands, Majuro, MH
102553, 1146200, 11462, University of Alaska Anchorage, Anchorage, AK
102669, 106100, 1061, Alaska Pacific University, Anchorage, AK
102845, 2576900, 25769, Charter College-Anchorage, Anchorage, AK
103501, 2541000, 25410, Alaska Career College, Anchorage, AK
103644, 2295000, 22950, Everest College-Phoenix, Phoenix, AZ
103723, 2160305, 21603, Collins College, Phoenix, AZ
103732, 2173204, 21732, Empire Beauty School-Paradise Valley, Phoenix, AZ
103741, 966403, 9664, Empire Beauty School-Tucson, Tucson, AZ
103787, 2199900, 21999, American Indian College Inc, Phoenix, AZ
